"","UF","code_muni","Municipios","nome_municipio","IEGM_2017","IEGM_2019","IEGM_2021","IEGM_2023","IEGM_media"
"119","Pernambuco","2610301","Paranatama","paranatama",0.516,0.468,0.412,0.2825,0.419625
"120","Pernambuco","2610400","Parnamirim","parnamirim",0.5985,0.5295,0.542,0.326,0.499
"121","Pernambuco","2610509","Passira","passira",0.541,0.4945,0.426,0.242,0.425875
"122","Pernambuco","2610608","Paudalho","paudalho",0.6095,0.5625,0.5865,0.5105,0.56725
"123","Pernambuco","2610707","Paulista","paulista",0.7365,0.593,0.4835,0.3905,0.550875
"124","Pernambuco","2610806","Pedra","pedra",0.5025,0.483,0.436,0.2865,0.427
"125","Pernambuco","2610905","Pesqueira","pesqueira",0.568,0.564,0.5405,NA,0.5575
"126","Pernambuco","2611002","Petrolândia","petrolandia",0.5865,0.5135,0.4895,NA,0.529833333333333
"127","Pernambuco","2611101","Petrolina","petrolina",0.5485,0.5935,0.6385,0.535,0.578875
"128","Pernambuco","2611200","Poção","pocao",0.486,0.48,0.549,NA,0.505
"129","Pernambuco","2611309","Pombos","pombos",0.458,0.4405,0.575,0.368,0.460375
"130","Pernambuco","2611408","Primavera","primavera",0.584,0.458,0.442,0.378,0.4655
"131","Pernambuco","2611507","Quipapá","quipapa",NA,0.54,0.448,NA,0.494
"132","Pernambuco","2611533","Quixaba","quixaba",0.481,0.635,0.6435,0.4335,0.54825
"133","Pernambuco","2611606","Recife","recife",0.704,0.7045,0.6345,0.5415,0.646125
"134","Pernambuco","2611705","Riacho das Almas","riacho das almas",0.5965,0.4555,0.4745,0.357,0.470875
"135","Pernambuco","2611804","Ribeirão","ribeirao",0.528,0.486,0.465,NA,0.493
"136","Pernambuco","2611903","Rio Formoso","rio formoso",0.564,0.4605,0.509,NA,0.511166666666667
"137","Pernambuco","2612000","Sairé","saire",0.5485,0.497,0.6275,NA,0.557666666666667
"138","Pernambuco","2612109","Salgadinho","salgadinho",NA,0.473,0.687,0.4255,0.5285
"139","Pernambuco","2612208","Salgueiro","salgueiro",0.5335,0.5835,0.412,NA,0.509666666666667
"140","Pernambuco","2612307","Saloá","saloa",0.5135,0.497,0.5785,NA,0.529666666666667
"141","Pernambuco","2612406","Sanharó","sanharo",NA,0.6215,0.479,NA,0.55025
"142","Pernambuco","2612455","Santa Cruz","santa cruz",NA,0.585,0.632,0.4335,0.550166666666667
"143","Pernambuco","2612471","Santa Cruz da Baixa Verde","santa cruz da baixa verde",0.572,0.5785,0.461,0.3985,0.5025
"144","Pernambuco","2612505","Santa Cruz do Capibaribe","santa cruz do capibaribe",0.57,0.4915,0.5035,0.4725,0.509375
"145","Pernambuco","2612554","Santa Filomena","santa filomena",0.437,0.479,0.443,0.3555,0.428625
"146","Pernambuco","2612604","Santa Maria da Boa Vista","santa maria da boa vista",0.507,0.471,0.4095,0.34,0.431875
"147","Pernambuco","2612703","Santa Maria do Cambucá","santa maria do cambuca",0.568,0.4625,0.4745,NA,0.501666666666667
"148","Pernambuco","2612802","Santa Terezinha","santa terezinha",0.591,0.582,0.465,0.372,0.5025
"149","Pernambuco","2612901","São Benedito do Sul","sao benedito do sul",NA,0.463,0.538,NA,0.5005
"150","Pernambuco","2613008","São Bento do Una","sao bento do una",0.605,0.591,0.52,NA,0.572
"151","Pernambuco","2613107","São Caitano","sao caitano",0.529,0.5795,0.5155,NA,0.541333333333333
"152","Pernambuco","2613206","São João","sao joao",NA,0.428,0.4625,NA,0.44525
"153","Pernambuco","2613305","São Joaquim do Monte","sao joaquim do monte",0.5245,0.515,0.5475,NA,0.529
"154","Pernambuco","2613404","São José da Coroa Grande","sao jose da coroa grande",NA,0.4855,0.5225,NA,0.504
